batch size,layers dim,lr,drop out,min l2 penalty weight,activation func,macro f1 test,micro f1 test,acc test,loss test,macro f1 train,micro f1 train,acc train,loss train
32,"(268, 178, 89)",0.0001,3,0.004216965034285823,relu,0.8064474265153417,0.8173431734317345,0.8173431734317343,0.5420904178010406,0.8662695564857731,0.8758079409048937,0.8758079409048938,0.3746300225317486
32,"(268, 178, 89)",0.0001,3,0.004216965034285823,elu,0.8244681611883602,0.8302583025830258,0.8302583025830258,0.5013394103630561,0.8576821469717552,0.8707294552169899,0.8707294552169899,0.40180637939323405
32,"(268, 178, 89)",0.0001,3,0.01778279410038923,relu,0.8137291023056711,0.8210332103321034,0.8210332103321033,0.5099607210951037,0.8572152791337072,0.8688827331486612,0.8688827331486612,0.4214096036532693
32,"(268, 178, 89)",0.0001,3,0.01778279410038923,elu,0.8271863005199205,0.8339483394833949,0.8339483394833949,0.5022855089852116,0.8694140971014878,0.8785780240073869,0.8785780240073869,0.3864649092803985
32,"(268, 178, 89)",0.0001,3,0.07498942093324558,relu,0.7877391117438733,0.8044280442804429,0.8044280442804428,0.6847060267343551,0.8166910960768773,0.8333333333333334,0.8333333333333334,0.62370610640008
32,"(268, 178, 89)",0.0001,3,0.07498942093324558,elu,0.7926887390061205,0.8007380073800738,0.8007380073800738,0.5832285547263122,0.841445728863378,0.8518005540166205,0.8518005540166205,0.5867474166301413
32,"(268, 178, 89)",0.0001,3,0.31622776601683794,relu,0.10281596068801536,0.16420664206642066,0.16420664206642066,1.949162138497225,0.08945711128076315,0.1348107109879963,0.1348107109879963,1.9519371055840895
32,"(268, 178, 89)",0.0001,3,0.31622776601683794,elu,0.10084348184770182,0.12915129151291513,0.12915129151291513,1.957525212094531,0.10875178697822072,0.14219759926131118,0.14219759926131118,1.9663741989857055
32,"(268, 178, 89)",0.0001,5,0.001,relu,0.7961623045252738,0.8044280442804429,0.8044280442804428,0.5807488996112341,0.8461919620052301,0.8564173591874423,0.8564173591874423,0.4711279899963513
32,"(268, 178, 89)",0.0001,5,0.001,elu,0.8101980553334792,0.8210332103321034,0.8210332103321033,0.5932453436128385,0.8607424354422627,0.8730378578024007,0.8730378578024007,0.41235018990227895
